time	V(vout1)
4.075343107183547e-003	6.340296e-003
4.085583107183486e-003	6.825224e-003
4.095823107183426e-003	7.282299e-003
4.106063107183365e-003	7.709630e-003
4.116303107183304e-003	8.105448e-003
4.126543107183243e-003	8.468116e-003
4.136783107183182e-003	8.796132e-003
4.147023107183121e-003	9.088138e-003
4.157263107183061e-003	9.342927e-003
4.167503107183000e-003	9.559443e-003
4.177743107182939e-003	9.736790e-003
4.187983107182878e-003	9.874234e-003
4.198223107182817e-003	9.971205e-003
4.208463107182757e-003	1.002730e-002
4.218703107182696e-003	1.004229e-002
4.228943107182635e-003	1.001612e-002
4.239183107182574e-003	9.948877e-003
4.249423107182513e-003	9.840854e-003
4.259663107182453e-003	9.692496e-003
4.269903107182392e-003	9.504414e-003
4.280143107182331e-003	9.277386e-003
4.290383107182270e-003	9.012352e-003
4.300623107182209e-003	8.710408e-003
4.310863107182148e-003	8.372801e-003
4.321103107182088e-003	8.000931e-003
4.331343107182027e-003	7.596333e-003
4.341583107181966e-003	7.160682e-003
4.351823107181905e-003	6.695781e-003
4.362063107181844e-003	6.203552e-003
4.372303107181784e-003	5.686032e-003
4.382543107181723e-003	5.145361e-003
4.392783107181662e-003	4.583776e-003
4.403023107181601e-003	4.003602e-003
4.413263107181540e-003	3.407236e-003
4.423503107181480e-003	2.797147e-003
4.433743107181419e-003	2.175859e-003
4.443983107181358e-003	1.545942e-003
4.454223107181297e-003	9.100013e-004
4.464463107181236e-003	2.706682e-004
4.474703107181175e-003	-3.694124e-004
4.484943107181115e-003	-1.007593e-003
4.495183107181054e-003	-1.641232e-003
4.505423107180993e-003	-2.267711e-003
4.515663107180932e-003	-2.884435e-003
4.525903107180871e-003	-3.488856e-003
4.536143107180811e-003	-4.078472e-003
4.546383107180750e-003	-4.650843e-003
4.556623107180689e-003	-5.203604e-003
4.566863107180628e-003	-5.734466e-003
4.577103107180567e-003	-6.241234e-003
4.587343107180507e-003	-6.721813e-003
4.597583107180446e-003	-7.174214e-003
4.607823107180385e-003	-7.596566e-003
4.618063107180324e-003	-7.987123e-003
4.628303107180263e-003	-8.344268e-003
4.638543107180202e-003	-8.666527e-003
4.648783107180142e-003	-8.952565e-003
4.659023107180081e-003	-9.201200e-003
4.669263107180020e-003	-9.411404e-003
4.679503107179959e-003	-9.582309e-003
4.689743107179898e-003	-9.713207e-003
4.699983107179838e-003	-9.803561e-003
4.710223107179777e-003	-9.852994e-003
4.720463107179716e-003	-9.861305e-003
4.730703107179655e-003	-9.828460e-003
4.740943107179594e-003	-9.754596e-003
4.751183107179533e-003	-9.640021e-003
4.761423107179473e-003	-9.485208e-003
4.771663107179412e-003	-9.290800e-003
4.781903107179351e-003	-9.057604e-003
4.792143107179290e-003	-8.786584e-003
4.802383107179229e-003	-8.478863e-003
4.812623107179169e-003	-8.135716e-003
4.822863107179108e-003	-7.758565e-003
4.833103107179047e-003	-7.348971e-003
4.843343107178986e-003	-6.908630e-003
4.853583107178925e-003	-6.439366e-003
4.863823107178865e-003	-5.943122e-003
4.874063107178804e-003	-5.421952e-003
4.884303107178743e-003	-4.878014e-003
4.894543107178682e-003	-4.313562e-003
4.904783107178621e-003	-3.730931e-003
4.915023107178560e-003	-3.132534e-003
4.925263107178500e-003	-2.520848e-003
4.935503107178439e-003	-1.898406e-003
4.945743107178378e-003	-1.267785e-003
4.955983107178317e-003	-6.315958e-004
4.966223107178256e-003	7.527440e-006
4.976463107178196e-003	6.469389e-004
4.986703107178135e-003	1.283991e-003
4.996943107178074e-003	1.916047e-003
5.007183107178013e-003	2.540489e-003
5.017423107177952e-003	3.154733e-003
5.027663107177892e-003	3.756235e-003
5.037903107177831e-003	4.342504e-003
5.048143107177770e-003	4.911114e-003
5.058383107177709e-003	5.459709e-003
5.068623107177648e-003	5.986020e-003
5.078863107177587e-003	6.487865e-003
5.089103107177527e-003	6.963167e-003
5.099343107177466e-003	7.409959e-003
5.109583107177405e-003	7.826389e-003
